,mocap_npy,target,target_idx
0,mocap_pianist01_EXAG_1.npy,pianist01,0
1,mocap_pianist01_EXAG_16.npy,pianist01,0
2,mocap_pianist01_EXAG_17.npy,pianist01,0
3,mocap_pianist01_EXAG_18.npy,pianist01,0
4,mocap_pianist01_EXAG_19.npy,pianist01,0
5,mocap_pianist01_EXAG_2.npy,pianist01,0
6,mocap_pianist01_EXAG_3.npy,pianist01,0
7,mocap_pianist01_EXAG_32.npy,pianist01,0
8,mocap_pianist01_EXAG_33.npy,pianist01,0
9,mocap_pianist01_EXAG_34.npy,pianist01,0
10,mocap_pianist01_EXAG_35.npy,pianist01,0
11,mocap_pianist01_EXAG_48.npy,pianist01,0
12,mocap_pianist01_EXAG_49.npy,pianist01,0
13,mocap_pianist01_EXAG_50.npy,pianist01,0
14,mocap_pianist01_EXAG_64.npy,pianist01,0
15,mocap_pianist01_EXAG_65.npy,pianist01,0
16,mocap_pianist01_EXAG_66.npy,pianist01,0
17,mocap_pianist01_EXAG_76.npy,pianist01,0
18,mocap_pianist01_EXAG_77.npy,pianist01,0
19,mocap_pianist01_EXAG_78.npy,pianist01,0
20,mocap_pianist01_EXAG_91.npy,pianist01,0
21,mocap_pianist01_EXAG_92.npy,pianist01,0
22,mocap_pianist01_EXAG_93.npy,pianist01,0
23,mocap_pianist01_LEG_20.npy,pianist01,0
24,mocap_pianist01_LEG_21.npy,pianist01,0
25,mocap_pianist01_LEG_22.npy,pianist01,0
26,mocap_pianist01_LEG_36.npy,pianist01,0
27,mocap_pianist01_LEG_37.npy,pianist01,0
28,mocap_pianist01_LEG_38.npy,pianist01,0
29,mocap_pianist01_LEG_4.npy,pianist01,0
30,mocap_pianist01_LEG_5.npy,pianist01,0
31,mocap_pianist01_LEG_51.npy,pianist01,0
32,mocap_pianist01_LEG_52.npy,pianist01,0
33,mocap_pianist01_LEG_53.npy,pianist01,0
34,mocap_pianist01_LEG_6.npy,pianist01,0
35,mocap_pianist01_LEG_67.npy,pianist01,0
36,mocap_pianist01_LEG_68.npy,pianist01,0
37,mocap_pianist01_LEG_69.npy,pianist01,0
38,mocap_pianist01_LEG_79.npy,pianist01,0
39,mocap_pianist01_LEG_80.npy,pianist01,0
40,mocap_pianist01_LEG_81.npy,pianist01,0
41,mocap_pianist01_LEG_94.npy,pianist01,0
42,mocap_pianist01_LEG_95.npy,pianist01,0
43,mocap_pianist01_LEG_96.npy,pianist01,0
44,mocap_pianist01_NORMAL_100.npy,pianist01,0
45,mocap_pianist01_NORMAL_23.npy,pianist01,0
46,mocap_pianist01_NORMAL_24.npy,pianist01,0
47,mocap_pianist01_NORMAL_25.npy,pianist01,0
48,mocap_pianist01_NORMAL_39.npy,pianist01,0
49,mocap_pianist01_NORMAL_40.npy,pianist01,0
50,mocap_pianist01_NORMAL_41.npy,pianist01,0
51,mocap_pianist01_NORMAL_54.npy,pianist01,0
52,mocap_pianist01_NORMAL_55.npy,pianist01,0
53,mocap_pianist01_NORMAL_56.npy,pianist01,0
54,mocap_pianist01_NORMAL_57.npy,pianist01,0
55,mocap_pianist01_NORMAL_7.npy,pianist01,0
56,mocap_pianist01_NORMAL_70.npy,pianist01,0
57,mocap_pianist01_NORMAL_71.npy,pianist01,0
58,mocap_pianist01_NORMAL_72.npy,pianist01,0
59,mocap_pianist01_NORMAL_8.npy,pianist01,0
60,mocap_pianist01_NORMAL_82.npy,pianist01,0
61,mocap_pianist01_NORMAL_83.npy,pianist01,0
62,mocap_pianist01_NORMAL_84.npy,pianist01,0
63,mocap_pianist01_NORMAL_9.npy,pianist01,0
64,mocap_pianist01_NORMAL_97.npy,pianist01,0
65,mocap_pianist01_NORMAL_98.npy,pianist01,0
66,mocap_pianist01_NORMAL_99.npy,pianist01,0
67,mocap_pianist01_STAC_10.npy,pianist01,0
68,mocap_pianist01_STAC_101.npy,pianist01,0
69,mocap_pianist01_STAC_102.npy,pianist01,0
70,mocap_pianist01_STAC_103.npy,pianist01,0
71,mocap_pianist01_STAC_11.npy,pianist01,0
72,mocap_pianist01_STAC_12.npy,pianist01,0
73,mocap_pianist01_STAC_26.npy,pianist01,0
74,mocap_pianist01_STAC_27.npy,pianist01,0
75,mocap_pianist01_STAC_28.npy,pianist01,0
76,mocap_pianist01_STAC_42.npy,pianist01,0
77,mocap_pianist01_STAC_43.npy,pianist01,0
78,mocap_pianist01_STAC_44.npy,pianist01,0
79,mocap_pianist01_STAC_58.npy,pianist01,0
80,mocap_pianist01_STAC_59.npy,pianist01,0
81,mocap_pianist01_STAC_60.npy,pianist01,0
82,mocap_pianist01_STAC_85.npy,pianist01,0
83,mocap_pianist01_STAC_86.npy,pianist01,0
84,mocap_pianist01_STAC_87.npy,pianist01,0
85,mocap_pianist01_STILL_104.npy,pianist01,0
86,mocap_pianist01_STILL_105.npy,pianist01,0
87,mocap_pianist01_STILL_106.npy,pianist01,0
88,mocap_pianist01_STILL_13.npy,pianist01,0
89,mocap_pianist01_STILL_14.npy,pianist01,0
90,mocap_pianist01_STILL_15.npy,pianist01,0
91,mocap_pianist01_STILL_29.npy,pianist01,0
92,mocap_pianist01_STILL_30.npy,pianist01,0
93,mocap_pianist01_STILL_31.npy,pianist01,0
94,mocap_pianist01_STILL_45.npy,pianist01,0
95,mocap_pianist01_STILL_46.npy,pianist01,0
96,mocap_pianist01_STILL_47.npy,pianist01,0
97,mocap_pianist01_STILL_61.npy,pianist01,0
98,mocap_pianist01_STILL_62.npy,pianist01,0
99,mocap_pianist01_STILL_63.npy,pianist01,0
100,mocap_pianist01_STILL_73.npy,pianist01,0
101,mocap_pianist01_STILL_74.npy,pianist01,0
102,mocap_pianist01_STILL_75.npy,pianist01,0
103,mocap_pianist01_STILL_88.npy,pianist01,0
104,mocap_pianist01_STILL_89.npy,pianist01,0
105,mocap_pianist01_STILL_90.npy,pianist01,0
106,mocap_pianist02_EXAG_107.npy,pianist02,1
107,mocap_pianist02_EXAG_108.npy,pianist02,1
108,mocap_pianist02_EXAG_109.npy,pianist02,1
109,mocap_pianist02_EXAG_122.npy,pianist02,1
110,mocap_pianist02_EXAG_123.npy,pianist02,1
111,mocap_pianist02_EXAG_124.npy,pianist02,1
112,mocap_pianist02_EXAG_137.npy,pianist02,1
113,mocap_pianist02_EXAG_138.npy,pianist02,1
114,mocap_pianist02_EXAG_139.npy,pianist02,1
115,mocap_pianist02_EXAG_152.npy,pianist02,1
116,mocap_pianist02_EXAG_153.npy,pianist02,1
117,mocap_pianist02_EXAG_154.npy,pianist02,1
118,mocap_pianist02_EXAG_167.npy,pianist02,1
119,mocap_pianist02_EXAG_168.npy,pianist02,1
120,mocap_pianist02_EXAG_169.npy,pianist02,1
121,mocap_pianist02_EXAG_182.npy,pianist02,1
122,mocap_pianist02_EXAG_183.npy,pianist02,1
123,mocap_pianist02_EXAG_184.npy,pianist02,1
124,mocap_pianist02_EXAG_197.npy,pianist02,1
125,mocap_pianist02_EXAG_198.npy,pianist02,1
126,mocap_pianist02_EXAG_199.npy,pianist02,1
127,mocap_pianist02_LEG_110.npy,pianist02,1
128,mocap_pianist02_LEG_111.npy,pianist02,1
129,mocap_pianist02_LEG_112.npy,pianist02,1
130,mocap_pianist02_LEG_125.npy,pianist02,1
131,mocap_pianist02_LEG_126.npy,pianist02,1
132,mocap_pianist02_LEG_127.npy,pianist02,1
133,mocap_pianist02_LEG_140.npy,pianist02,1
134,mocap_pianist02_LEG_141.npy,pianist02,1
135,mocap_pianist02_LEG_142.npy,pianist02,1
136,mocap_pianist02_LEG_155.npy,pianist02,1
137,mocap_pianist02_LEG_156.npy,pianist02,1
138,mocap_pianist02_LEG_157.npy,pianist02,1
139,mocap_pianist02_LEG_170.npy,pianist02,1
140,mocap_pianist02_LEG_171.npy,pianist02,1
141,mocap_pianist02_LEG_172.npy,pianist02,1
142,mocap_pianist02_LEG_185.npy,pianist02,1
143,mocap_pianist02_LEG_186.npy,pianist02,1
144,mocap_pianist02_LEG_187.npy,pianist02,1
145,mocap_pianist02_LEG_200.npy,pianist02,1
146,mocap_pianist02_LEG_201.npy,pianist02,1
147,mocap_pianist02_LEG_202.npy,pianist02,1
148,mocap_pianist02_NORMAL_113.npy,pianist02,1
149,mocap_pianist02_NORMAL_114.npy,pianist02,1
150,mocap_pianist02_NORMAL_115.npy,pianist02,1
151,mocap_pianist02_NORMAL_128.npy,pianist02,1
152,mocap_pianist02_NORMAL_129.npy,pianist02,1
153,mocap_pianist02_NORMAL_130.npy,pianist02,1
154,mocap_pianist02_NORMAL_143.npy,pianist02,1
155,mocap_pianist02_NORMAL_144.npy,pianist02,1
156,mocap_pianist02_NORMAL_145.npy,pianist02,1
157,mocap_pianist02_NORMAL_158.npy,pianist02,1
158,mocap_pianist02_NORMAL_159.npy,pianist02,1
159,mocap_pianist02_NORMAL_160.npy,pianist02,1
160,mocap_pianist02_NORMAL_173.npy,pianist02,1
161,mocap_pianist02_NORMAL_174.npy,pianist02,1
162,mocap_pianist02_NORMAL_175.npy,pianist02,1
163,mocap_pianist02_NORMAL_188.npy,pianist02,1
164,mocap_pianist02_NORMAL_189.npy,pianist02,1
165,mocap_pianist02_NORMAL_190.npy,pianist02,1
166,mocap_pianist02_NORMAL_203.npy,pianist02,1
167,mocap_pianist02_NORMAL_204.npy,pianist02,1
168,mocap_pianist02_NORMAL_205.npy,pianist02,1
169,mocap_pianist02_STAC_116.npy,pianist02,1
170,mocap_pianist02_STAC_117.npy,pianist02,1
171,mocap_pianist02_STAC_118.npy,pianist02,1
172,mocap_pianist02_STAC_131.npy,pianist02,1
173,mocap_pianist02_STAC_132.npy,pianist02,1
174,mocap_pianist02_STAC_133.npy,pianist02,1
175,mocap_pianist02_STAC_146.npy,pianist02,1
176,mocap_pianist02_STAC_147.npy,pianist02,1
177,mocap_pianist02_STAC_148.npy,pianist02,1
178,mocap_pianist02_STAC_161.npy,pianist02,1
179,mocap_pianist02_STAC_162.npy,pianist02,1
180,mocap_pianist02_STAC_163.npy,pianist02,1
181,mocap_pianist02_STAC_176.npy,pianist02,1
182,mocap_pianist02_STAC_177.npy,pianist02,1
183,mocap_pianist02_STAC_178.npy,pianist02,1
184,mocap_pianist02_STAC_191.npy,pianist02,1
185,mocap_pianist02_STAC_192.npy,pianist02,1
186,mocap_pianist02_STAC_193.npy,pianist02,1
187,mocap_pianist02_STAC_206.npy,pianist02,1
188,mocap_pianist02_STAC_207.npy,pianist02,1
189,mocap_pianist02_STAC_208.npy,pianist02,1
190,mocap_pianist02_STILL_119.npy,pianist02,1
191,mocap_pianist02_STILL_120.npy,pianist02,1
192,mocap_pianist02_STILL_121.npy,pianist02,1
193,mocap_pianist02_STILL_134.npy,pianist02,1
194,mocap_pianist02_STILL_135.npy,pianist02,1
195,mocap_pianist02_STILL_136.npy,pianist02,1
196,mocap_pianist02_STILL_149.npy,pianist02,1
