,filename,target
0,mocap_pianist01_STAC_102_chunk1.npy,4
1,mocap_pianist02_STAC_146_chunk2.npy,52
2,mocap_pianist01_EXAG_48_chunk3.npy,154
3,mocap_pianist01_NORMAL_97_chunk5.npy,208
4,mocap_pianist01_STILL_47_chunk5.npy,153
5,mocap_pianist01_STILL_14.npy,215
6,mocap_pianist01_STILL_29.npy,215
7,mocap_pianist01_NORMAL_9.npy,213
8,mocap_pianist01_LEG_69_chunk3.npy,177
9,mocap_pianist01_STILL_62.npy,215
10,mocap_pianist02_EXAG_182_chunk2.npy,92
11,mocap_pianist01_LEG_67_chunk2.npy,175
12,mocap_pianist01_NORMAL_25.npy,213
13,mocap_pianist01_STILL_14_chunk1.npy,45
14,mocap_pianist02_STILL_135_chunk1.npy,40
15,mocap_pianist02_NORMAL_175.npy,213
16,mocap_pianist01_STILL_73_chunk2.npy,182
17,mocap_pianist02_NORMAL_143_chunk2.npy,49
18,mocap_pianist01_STILL_30_chunk1.npy,135
19,mocap_pianist02_LEG_200_chunk5.npy,113
20,mocap_pianist01_NORMAL_7.npy,213
21,mocap_pianist02_STILL_211_chunk7.npy,125
22,mocap_pianist02_LEG_201_chunk6.npy,114
23,mocap_pianist01_STILL_105_chunk2.npy,7
24,mocap_pianist01_STILL_74_chunk1.npy,183
25,mocap_pianist02_NORMAL_143_chunk1.npy,49
26,mocap_pianist02_EXAG_123_chunk3.npy,27
27,mocap_pianist02_STAC_131_chunk1.npy,36
28,mocap_pianist02_LEG_125.npy,212
29,mocap_pianist02_LEG_202_chunk6.npy,115
30,mocap_pianist01_NORMAL_41_chunk2.npy,147
31,mocap_pianist01_STILL_106_chunk4.npy,8
32,mocap_pianist01_STAC_42_chunk4.npy,148
33,mocap_pianist01_STILL_31_chunk1.npy,136
34,mocap_pianist02_EXAG_198_chunk1.npy,109
35,mocap_pianist02_STAC_206_chunk2.npy,119
36,mocap_pianist02_NORMAL_189_chunk1.npy,99
37,mocap_pianist01_LEG_53.npy,212
38,mocap_pianist02_NORMAL_205_chunk3.npy,118
39,mocap_pianist01_STILL_13_chunk1.npy,34
40,mocap_pianist02_LEG_140_chunk5.npy,46
41,mocap_pianist02_EXAG_198_chunk3.npy,109
42,mocap_pianist01_EXAG_49.npy,211
43,mocap_pianist02_EXAG_107_chunk1.npy,9
44,mocap_pianist01_LEG_21.npy,212
45,mocap_pianist01_LEG_94.npy,212
46,mocap_pianist01_NORMAL_100_chunk5.npy,2
47,mocap_pianist01_NORMAL_83_chunk1.npy,193
48,mocap_pianist01_NORMAL_23_chunk1.npy,127
49,mocap_pianist01_LEG_22_chunk3.npy,126
50,mocap_pianist02_STILL_151_chunk5.npy,58
51,mocap_pianist02_NORMAL_144_chunk1.npy,50
52,mocap_pianist01_EXAG_91_chunk5.npy,202
53,mocap_pianist01_LEG_20_chunk3.npy,112
54,mocap_pianist01_STILL_62_chunk1.npy,170
55,mocap_pianist01_STAC_43_chunk4.npy,149
56,mocap_pianist02_NORMAL_204_chunk6.npy,117
57,mocap_pianist01_STILL_46_chunk4.npy,152
58,mocap_pianist02_STAC_208.npy,214
59,mocap_pianist01_STILL_75_chunk1.npy,184
60,mocap_pianist01_STILL_90_chunk2.npy,201
61,mocap_pianist02_STAC_206_chunk1.npy,119
62,mocap_pianist02_STILL_210_chunk3.npy,124
63,mocap_pianist02_LEG_127.npy,212
64,mocap_pianist02_STILL_150_chunk5.npy,57
65,mocap_pianist02_STILL_165.npy,215
66,mocap_pianist02_STAC_178_chunk2.npy,87
67,mocap_pianist02_EXAG_123.npy,211
68,mocap_pianist01_EXAG_64_chunk1.npy,172
69,mocap_pianist02_STILL_151_chunk2.npy,58
70,mocap_pianist02_NORMAL_144_chunk3.npy,50
71,mocap_pianist02_EXAG_139_chunk3.npy,44
72,mocap_pianist02_LEG_155.npy,212
73,mocap_pianist02_EXAG_197_chunk4.npy,108
74,mocap_pianist02_NORMAL_114.npy,213
75,mocap_pianist02_EXAG_153_chunk1.npy,60
76,mocap_pianist01_LEG_81.npy,212
77,mocap_pianist01_STAC_12.npy,214
78,mocap_pianist02_STAC_146_chunk5.npy,52
79,mocap_pianist01_STAC_102_chunk3.npy,4
80,mocap_pianist01_STAC_43.npy,214
81,mocap_pianist01_LEG_36.npy,212
82,mocap_pianist01_NORMAL_57_chunk2.npy,164
